,date,deaths,confirmed,active,recovered,new_confirmed,new_recovered,new_deaths
0,2020-01-30,0.0,2.0,2.0,0.0,2.0,0.0,0.0
1,2020-01-31,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2,2020-02-01,0.0,2.142857142857143,2.142857142857143,0.0,0.14285714285714285,0.0,0.0
3,2020-02-02,0.0,2.2857142857142856,2.2857142857142856,0.0,0.2857142857142857,0.0,0.0
4,2020-02-03,0.0,2.4285714285714284,2.4285714285714284,0.0,0.42857142857142855,0.0,0.0
5,2020-02-04,0.0,2.571428571428571,2.571428571428571,0.0,0.5714285714285714,0.0,0.0
6,2020-02-05,0.0,2.7142857142857135,2.7142857142857135,0.0,0.7142857142857142,0.0,0.0
7,2020-02-06,0.0,2.8571428571428568,2.8571428571428568,0.0,0.8571428571428571,0.0,0.0
8,2020-02-07,0.0,3.0,3.0,0.0,1.0,0.0,0.0
9,2020-02-08,0.07142857142857142,4.2142857142857135,4.142857142857142,0.0,2.142857142857143,0.0,0.07142857142857142
10,2020-02-09,0.14285714285714285,5.428571428571428,5.285714285714285,0.0,3.2857142857142856,0.0,0.14285714285714285
11,2020-02-10,0.21428571428571427,6.642857142857142,6.428571428571429,0.0,4.428571428571429,0.0,0.21428571428571427
12,2020-02-11,0.2857142857142857,7.857142857142856,7.57142857142857,0.0,5.571428571428571,0.0,0.2857142857142857
13,2020-02-12,0.3571428571428571,9.071428571428571,8.714285714285714,0.0,6.7142857142857135,0.0,0.3571428571428571
14,2020-02-13,0.42857142857142855,10.285714285714285,9.857142857142856,0.0,7.857142857142857,0.0,0.42857142857142855
15,2020-02-14,0.5,11.5,11.0,0.0,9.0,0.0,0.5
16,2020-02-15,0.5714285714285714,12.714285714285712,12.142857142857142,0.0,10.142857142857142,0.0,0.5714285714285714
17,2020-02-16,0.6428571428571428,13.928571428571427,13.285714285714285,0.0,11.285714285714285,0.0,0.6428571428571428
18,2020-02-17,0.7142857142857142,15.142857142857142,14.428571428571427,0.0,12.428571428571427,0.0,0.7142857142857142
19,2020-02-18,0.7857142857142857,16.357142857142858,15.571428571428571,0.0,13.571428571428571,0.0,0.7857142857142857
20,2020-02-19,0.8571428571428571,17.57142857142857,16.71428571428571,0.0,14.714285714285714,0.0,0.8571428571428571
21,2020-02-20,0.9285714285714285,18.785714285714285,17.857142857142858,0.0,15.857142857142856,0.0,0.9285714285714285
22,2020-02-21,1.0,20.0,19.0,0.0,17.0,0.0,1.0
23,2020-02-22,2.0,62.0,59.0,1.0,42.0,1.0,1.0
24,2020-02-23,3.0,155.0,150.0,2.0,93.0,1.0,1.0
25,2020-02-24,7.0,229.0,221.0,1.0,74.0,0.0,4.0
26,2020-02-25,10.0,322.0,311.0,1.0,93.0,0.0,3.0
27,2020-02-26,12.0,453.0,438.0,3.0,131.0,2.0,2.0
28,2020-02-27,17.0,655.0,593.0,45.0,202.0,42.0,5.0
29,2020-02-28,21.0,888.0,821.0,46.0,233.0,1.0,4.0
30,2020-02-29,29.0,1128.0,1053.0,46.0,240.0,0.0,8.0
31,2020-03-01,34.0,1694.0,1577.0,83.0,566.0,37.0,5.0
32,2020-03-02,52.0,2036.0,1835.0,149.0,342.0,66.0,18.0
33,2020-03-03,79.0,2502.0,2263.0,160.0,466.0,11.0,27.0
34,2020-03-04,107.0,3089.0,2706.0,276.0,587.0,116.0,28.0
35,2020-03-05,148.0,3858.0,3296.0,414.0,769.0,138.0,41.0
36,2020-03-06,197.0,4636.0,3916.0,523.0,778.0,109.0,49.0
37,2020-03-07,233.0,5883.0,5061.0,589.0,1247.0,66.0,36.0
38,2020-03-08,366.0,7375.0,6387.0,622.0,1492.0,33.0,133.0
39,2020-03-09,463.0,9172.0,7985.0,724.0,1797.0,102.0,97.0
40,2020-03-10,631.0,10149.0,8794.0,724.0,977.0,0.0,168.0
41,2020-03-11,827.0,12462.0,10590.0,1045.0,2313.0,321.0,196.0
42,2020-03-12,1046.5,15061.0,12772.5,1242.0,3755.5,357.5,317.5
43,2020-03-13,1266.0,17660.0,14955.0,1439.0,5198.0,394.0,439.0
44,2020-03-14,1809.0,24747.0,20603.0,2335.0,7087.0,896.0,543.0
45,2020-03-15,1983.5,26363.5,21838.0,2542.0,5160.0,655.0,446.0
46,2020-03-16,2158.0,27980.0,23073.0,2749.0,3233.0,414.0,349.0
47,2020-03-17,2503.0,31506.0,26062.0,2941.0,3526.0,192.0,345.0
48,2020-03-18,2978.0,35713.0,28710.0,4025.0,4207.0,1084.0,475.0
49,2020-03-19,3405.0,41035.0,33190.0,4440.0,5322.0,415.0,427.0
50,2020-03-20,4032.0,47021.0,38549.0,4440.0,5986.0,0.0,627.0
51,2020-03-21,4825.0,53578.0,42681.0,6072.0,6557.0,1632.0,793.0
52,2020-03-22,5476.0,59138.0,46638.0,7024.0,5560.0,952.0,651.0
53,2020-03-23,6077.0,63927.0,50418.0,7432.0,4789.0,408.0,601.0
54,2020-03-24,6820.0,69176.0,54030.0,8326.0,5249.0,894.0,743.0
55,2020-03-25,7503.0,74386.0,57521.0,9362.0,5210.0,1036.0,683.0
56,2020-03-26,8215.0,80589.0,62013.0,10361.0,6203.0,999.0,712.0
57,2020-03-27,9134.0,86498.0,66414.0,10950.0,5909.0,589.0,919.0
58,2020-03-28,10023.0,92472.0,70065.0,12384.0,5974.0,1434.0,889.0
59,2020-03-29,10779.0,97689.0,73880.0,13030.0,5217.0,646.0,756.0
60,2020-03-30,11591.0,101739.0,75528.0,14620.0,4050.0,1590.0,812.0
61,2020-03-31,12428.0,105792.0,77635.0,15729.0,4053.0,1109.0,837.0
62,2020-04-01,13155.0,110574.0,80572.0,16847.0,4782.0,1118.0,727.0
